Open Time,Open,High,Low,Close,Volume,Taker Buy Base Volume,Taker Buy Quote Volume
2024-03-09,68124.2,68541.1,67861.1,68313.27,19872.89743,10005.592,682720256.0028228
2024-03-10,68313.28,69887.61,68094.75,68955.88,38404.66835,19188.79904,1328747995.9940255
2024-03-11,68955.88,72800.0,67024.96,72078.1,75292.825726,39435.855459,2803359303.286973
2024-03-12,72078.1,73000.0,68620.82,71452.01,68783.546691,34517.212933,2465202174.407226
2024-03-13,71452.0,73650.25,71333.31,73072.41,52659.711647,26787.082237,1948382241.8894603
2024-03-14,73072.4,73777.0,68555.0,71388.94,71757.628746,35676.748326,2552190396.8890066
2024-03-15,71388.94,72419.71,65600.0,69499.85,103334.03546,49844.66515,3409385750.021177
2024-03-16,69499.84,70043.0,64780.0,65300.63,55926.95336,27240.19894,1846731512.2736232
2024-03-17,65300.64,68904.4,64533.0,68393.48,49742.21589,25328.29435,1692079618.2113106
2024-03-18,68393.47,68956.0,66565.2,67609.99,55691.08088,28529.67219,1930726566.249246
2024-03-19,67610.0,68124.11,61555.0,61937.4,101005.32487,48205.28434,3095258881.7022734
2024-03-20,61937.41,68100.0,60775.0,67840.51,90420.58592,45523.84281,2907222064.1312914
2024-03-21,67840.51,68240.47,64529.01,65501.27,53357.48002,26650.09786,1774833851.2215245
2024-03-22,65501.28,66649.62,62260.0,63796.64,51482.37821,24578.87957,1580940164.1212375
2024-03-23,63796.64,65999.0,63000.0,63990.01,26410.11409,12749.00823,823892846.714977
2024-03-24,63990.02,67628.69,63772.29,67209.99,31395.78015,16689.65617,1095820626.0291996
2024-03-25,67210.0,71150.0,66385.06,69880.01,53431.14486,27815.58769,1915614174.2397635
2024-03-26,69880.0,71561.1,69280.0,69988.0,38934.38417,19498.85666,1371708206.538872
2024-03-27,69987.99,71769.54,68359.18,69469.99,49119.35685,24902.3347,1737325915.8344178
2024-03-28,69469.99,71552.06,68903.62,70780.6,35439.03239,18007.26883,1270852446.707745
2024-03-29,70780.6,70916.16,69009.0,69850.54,25445.08353,11839.0929,828039936.6854533
2024-03-30,69850.53,70321.1,69540.0,69582.18,13644.61142,6423.89367,449436189.733619
2024-03-31,69582.17,71366.0,69562.99,71280.01,19396.34433,10142.47988,715151368.946302
2024-04-01,71280.0,71288.23,68062.86,69649.8,41445.32039,20211.15024,1402849944.782289
2024-04-02,69649.81,69674.23,64550.0,65463.99,71799.82793,35520.17401,2348263612.3034706
2024-04-03,65463.99,66903.63,64493.07,65963.28,39887.21778,20618.58747,1360363531.1659517
2024-04-04,65963.27,69309.91,65064.52,68487.79,41510.48453,21013.32173,1415699952.0381584
2024-04-05,68487.8,68756.67,65952.56,67820.62,37915.23073,18889.98453,1273220222.7625887
2024-04-06,67820.63,69692.0,67447.83,68896.0,20134.28919,9973.86412,680800856.2096505
2024-04-07,68896.0,70326.29,68824.0,69360.39,21534.74433,11149.90398,774906774.5282812
2024-04-08,69360.38,72797.99,69043.24,71620.0,45723.87624,25309.90487,1811209901.716354
2024-04-09,71620.0,71758.19,68210.0,69146.0,39293.90242,18896.53756,1321865585.2380521
2024-04-10,69146.0,71172.08,67518.0,70631.08,42006.02377,20269.34809,1401023003.7318227
2024-04-11,70631.08,71305.89,69567.21,70006.23,31917.25595,15908.49124,1120249990.7357526
2024-04-12,70006.22,71227.46,65086.86,67116.52,56072.86229,25935.86464,1777808491.1704543
2024-04-13,67116.52,67929.0,60660.57,63924.51,71395.22019,33221.6695,2144846149.680918
2024-04-14,63924.52,65840.0,62134.0,65661.84,61599.17818,29732.29634,1904847012.5093086
2024-04-15,65661.85,66867.07,62274.4,63419.99,52389.53069,25206.68008,1634572976.9398127
